== 2026-09-03T22:50:16Z cleaning results of earlier schemas
== 2026-09-03T22:50:16Z diff (workers=4, deadline=270 min)
[22:50:16] 773 pairs total, 773 to do, 4 workers, big pair > 120 MB download, deadline 270 min
[22:50:16] [1/773] libreoffice@26.2.4.2..26.2.5.2 (1407 MB dl, 0s, 78 MB rss) ok
[22:50:16] [2/773] libreoffice@26.2.4.1..26.2.4.2 (1402 MB dl, 0s, 78 MB rss) ok
[22:50:16] [3/773] libreoffice@26.2.3.1..26.2.3.2 (1402 MB dl, 0s, 78 MB rss) ok
[22:50:16] [4/773] libreoffice@26.2.3.2..26.2.4.1 (1402 MB dl, 0s, 78 MB rss) ok
[22:50:16] [5/773] libreoffice@26.2.5.2..26.8.0.0.alpha1 (1393 MB dl, 0s, 78 MB rss) ok
[22:50:16] [6/773] libreoffice@26.8.0.2..26.8.0.3 (1386 MB dl, 0s, 78 MB rss) ok
[22:50:16] [7/773] libreoffice@26.8.0.1..26.8.0.2 (1380 MB dl, 0s, 78 MB rss) ok
[22:50:16] [8/773] libreoffice@26.8.0.0.alpha1..26.8.0.0.beta1 (1374 MB dl, 0s, 78 MB rss) ok
[22:50:16] [9/773] libreoffice@26.8.0.0.beta1..26.8.0.1 (1374 MB dl, 0s, 78 MB rss) ok
== 2026-09-03T22:52:34Z diff (workers=4, deadline=270 min)
[22:52:34] 773 pairs total, 764 to do, 4 workers, big pair > 120 MB download, deadline 270 min
[22:57:10] [1/764] z3@4.8.12..4.13.3 (318 MB dl, 276s, 4309 MB rss) killed by signal 9 (likely out of memory); will retry alone
[22:58:52] [2/764] libmwaw@0.3.20..0.3.21 (119 MB dl, 378s, 3957 MB rss) killed by signal 9 (likely out of memory); will retry alone
== 2026-09-03T23:00:04Z diff (workers=4, deadline=270 min)
[23:00:04] 773 pairs total, 764 to do, 4 workers, big pair > 40 MB download, deadline 270 min
[23:00:26] [1/764] sane-backends@1.2.1..1.3.0 (38 MB dl, 22s, 366 MB rss) ok
[23:00:26] [2/764] sane-backends@1.3.0..1.3.1 (39 MB dl, 22s, 365 MB rss) ok
[23:00:30] [3/764] sane-backends@1.3.1..1.4.0 (39 MB dl, 26s, 378 MB rss) ok
[23:00:47] [4/764] sane-backends@1.0.32..1.1.1 (36 MB dl, 21s, 358 MB rss) ok
[23:00:49] [5/764] sane-backends@1.1.1..1.2.1 (37 MB dl, 22s, 352 MB rss) ok
[23:01:06] [6/764] sane-backends@1.0.31..1.0.32 (35 MB dl, 19s, 342 MB rss) ok
[23:01:35] [7/764] libwps@0.4.11..0.4.12 (35 MB dl, 66s, 1185 MB rss) ok
[23:01:47] [8/764] openal-soft@1.25.1..1.25.2 (35 MB dl, 59s, 1095 MB rss) ok
[23:01:54] [9/764] sane-backends@1.0.30..1.0.31 (35 MB dl, 19s, 343 MB rss) ok
[23:02:06] [10/764] sane-backends@1.0.29..1.0.30 (34 MB dl, 18s, 334 MB rss) ok
[23:02:23] [11/764] libheif@1.21.2..1.23.1 (35 MB dl, 76s, 1317 MB rss) ok
[23:02:47] [12/764] mesa@25.1.5..25.1.7 (31 MB dl, 24s, 601 MB rss) ok
[23:02:49] [13/764] openal-soft@1.25.0..1.25.1 (34 MB dl, 55s, 1051 MB rss) ok
[23:03:09] [14/764] mesa@25.1.0..25.1.5 (31 MB dl, 22s, 600 MB rss) ok
[23:03:11] [15/764] mesa@25.0.7..25.1.0 (31 MB dl, 22s, 602 MB rss) ok
[23:03:31] [16/764] mesa@25.0.5..25.0.7 (31 MB dl, 22s, 589 MB rss) ok
[23:03:34] [17/764] mesa@25.0.4..25.0.5 (31 MB dl, 23s, 594 MB rss) ok
[23:03:52] [18/764] libetonyek@0.1.6..0.1.7 (32 MB dl, 107s, 2042 MB rss) ok
[23:03:53] [19/764] mesa@25.0.3..25.0.4 (31 MB dl, 22s, 580 MB rss) ok
[23:03:58] [20/764] mesa@25.0.0..25.0.1 (31 MB dl, 25s, 586 MB rss) ok
[23:04:12] [21/764] mesa@25.0.1..25.0.2 (31 MB dl, 20s, 586 MB rss) ok
[23:04:14] [22/764] mesa@25.0.2..25.0.3 (31 MB dl, 21s, 580 MB rss) ok
[23:04:17] [23/764] z3@4.8.12..4.13.3 (318 MB dl, 253s, 5653 MB rss) killed by signal 11 (likely out of memory); will retry alone
[23:04:27] [24/764] sane-backends@1.0.27..1.0.29 (29 MB dl, 15s, 262 MB rss) ok
[23:04:56] [25/764] libwps@0.4.13..0.4.14 (30 MB dl, 58s, 1159 MB rss) ok
[23:05:04] [26/764] libwps@0.4.12..0.4.13 (29 MB dl, 51s, 1113 MB rss) ok
[23:05:54] [27/764] libwps@0.4.9..0.4.10 (29 MB dl, 58s, 1151 MB rss) ok
[23:06:16] [28/764] apt@3.3.1..3.3.2 (29 MB dl, 72s, 883 MB rss) ok
[23:06:22] [29/764] apt@3.3.2..3.3.3 (29 MB dl, 115s, 890 MB rss) ok
[23:07:06] [30/764] apt@3.3.0..3.3.1 (29 MB dl, 72s, 899 MB rss) ok
[23:07:13] [31/764] libheif@1.20.2..1.21.2 (29 MB dl, 57s, 1122 MB rss) ok
[23:08:14] [32/764] apt@3.1.16..3.2.0 (29 MB dl, 113s, 897 MB rss) ok
[23:08:19] [33/764] apt@3.1.15..3.1.16 (29 MB dl, 73s, 879 MB rss) ok
[23:08:21] [34/764] apt@3.2.0..3.3.0 (29 MB dl, 69s, 883 MB rss) ok
[23:08:56] [35/764] z3@4.8.10..4.8.12 (279 MB dl, 279s, 5647 MB rss) ok
[23:09:26] [36/764] apt@3.1.14..3.1.15 (29 MB dl, 71s, 894 MB rss) ok
